state,zip_code,county,city
470d20ee-2c88-448f-b012-36512f3dbfc7,91106,Los Angeles,Pasadena
470d20ee-2c88-448f-b012-36512f3dbfc7,91107,Los Angeles,Pasadena
470d20ee-2c88-448f-b012-36512f3dbfc7,91108,Los Angeles,San marino
470d20ee-2c88-448f-b012-36512f3dbfc7,91201,Los Angeles,Glendale
470d20ee-2c88-448f-b012-36512f3dbfc7,91202,Los Angeles,Glendale
470d20ee-2c88-448f-b012-36512f3dbfc7,91203,Los Angeles,Glendale
470d20ee-2c88-448f-b012-36512f3dbfc7,91204,Los Angeles,Glendale
470d20ee-2c88-448f-b012-36512f3dbfc7,91205,Los Angeles,Glendale
470d20ee-2c88-448f-b012-36512f3dbfc7,91206,Los Angeles,Glendale
470d20ee-2c88-448f-b012-36512f3dbfc7,91207,Los Angeles,Glendale
470d20ee-2c88-448f-b012-36512f3dbfc7,91208,Los Angeles,Glendale
470d20ee-2c88-448f-b012-36512f3dbfc7,91214,Los Angeles,La crescenta
470d20ee-2c88-448f-b012-36512f3dbfc7,91301,Los Angeles,Oak park
470d20ee-2c88-448f-b012-36512f3dbfc7,91302,Los Angeles,Calabasas
470d20ee-2c88-448f-b012-36512f3dbfc7,91303,Los Angeles,Canoga park
470d20ee-2c88-448f-b012-36512f3dbfc7,91304,Los Angeles,Canoga park
470d20ee-2c88-448f-b012-36512f3dbfc7,91306,Los Angeles,Winnetka
470d20ee-2c88-448f-b012-36512f3dbfc7,91307,Los Angeles,West hills
470d20ee-2c88-448f-b012-36512f3dbfc7,91311,Los Angeles,Chatsworth
470d20ee-2c88-448f-b012-36512f3dbfc7,91316,Los Angeles,Encino
470d20ee-2c88-448f-b012-36512f3dbfc7,91320,Ventura,Newbury park
470d20ee-2c88-448f-b012-36512f3dbfc7,91321,Los Angeles,Newhall
470d20ee-2c88-448f-b012-36512f3dbfc7,91324,Los Angeles,Northridge
470d20ee-2c88-448f-b012-36512f3dbfc7,91325,Los Angeles,Northridge
470d20ee-2c88-448f-b012-36512f3dbfc7,91326,Los Angeles,Porter ranch
470d20ee-2c88-448f-b012-36512f3dbfc7,91331,Los Angeles,Arleta
